,ChildID,ChildEthnicity,ChildLanguage,ChildRace,ChildFlags,ChildDateofBirth,Age (as of current day),Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Total Attendance,Total Absence,Total Days,Attendance Rate
0,18578,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Preschool'],12/28/2004,17,FH,0,102.0,0,0,0,102.0,0.0,102.0,0,102.0,1.0
1,22717,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],01/13/2008,14,FH,0,245.0,2,1,0,248.0,0.0,245.0,3,248.0,0.9879032258064516
2,25173,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],01/06/2007,15,FH,0,242.0,2,4,0,248.0,0.0,242.0,6,248.0,0.9758064516129032
3,30829,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Infant/Toddler'],11/19/2010,11,FH,0,246.0,2,0,0,248.0,0.0,246.0,2,248.0,0.9919354838709676
4,31583,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],05/22/2010,12,Linda Vista,3,232.0,1,10,0,246.0,0.0,232.0,14,246.0,0.943089430894309
5,35649,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],11/30/2007,14,Linda Vista,9,195.0,1,41,0,246.0,0.0,195.0,51,246.0,0.7926829268292683
6,37814,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'School Age']",09/22/2009,13,Linda Vista,8,200.0,21,17,0,246.0,0.0,200.0,46,246.0,0.8130081300813008
7,37815,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #15 (check box if Yes)', 'School Age', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)']",01/01/2012,10,Linda Vista,8,198.0,21,19,0,246.0,0.0,198.0,48,246.0,0.8048780487804879
8,38533,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/17/2008,13,Linda Vista,12,197.0,15,21,1,246.0,0.0,197.0,49,246.0,0.8008130081300813
9,38884,Hispanic or Latino,00 -- English,['Caucasian'],['Infant/Toddler'],10/07/2012,10,Valley Medical Center,0,27.0,5,1,0,33.0,0.0,27.0,6,33.0,0.8181818181818182
10,39723,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/04/2013,9,Decoto,0,0.0,3,0,0,3.0,0.0,0.0,3,3.0,0.0
11,40274,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/05/2013,9,Paul Miller,2,39.0,0,2,0,43.0,0.0,39.0,4,43.0,0.9069767441860463
12,40328,Not Hispanic or Latino,00 -- English,['Caucasian'],[nan],05/06/2013,9,Paul Miller,1,40.0,0,0,0,41.0,0.0,40.0,1,41.0,0.975609756097561
13,40448,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],05/07/2013,9,Meyer,0,9.0,0,12,0,0.0,21.0,9.0,12,21.0,0.4285714285714285
14,40481,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,Linda Vista,7,213.0,1,25,0,246.0,0.0,213.0,33,246.0,0.8658536585365854
15,40604,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],01/25/2009,13,Linda Vista,13,208.0,1,19,5,246.0,0.0,208.0,38,246.0,0.8455284552845529
16,40605,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],10/12/2010,12,Linda Vista,13,206.0,1,21,5,246.0,0.0,206.0,40,246.0,0.8373983739837398
17,40639,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],02/15/2013,9,Paul Miller,0,39.0,0,2,0,41.0,0.0,39.0,2,41.0,0.951219512195122
18,40750,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],01/22/2013,9,Sharon Jones,2,19.0,0,0,0,0.0,21.0,19.0,2,21.0,0.9047619047619048
19,40834,Not Hispanic or Latino,00 -- English,['Asian'],[nan],02/08/2013,9,Washington Hospital,0,29.0,0,0,0,29.0,0.0,29.0,0,29.0,1.0
20,40966,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],11/29/2008,13,Linda Vista,2,236.0,1,7,0,246.0,0.0,236.0,10,246.0,0.959349593495935
21,40967,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/07/2012,9,Linda Vista,2,229.0,1,14,0,246.0,0.0,229.0,17,246.0,0.9308943089430894
22,41176,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/22/2010,12,Linda Vista,9,230.0,1,6,0,246.0,0.0,230.0,16,246.0,0.934959349593496
23,41245,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Inactive:  Head Start Santa Clara County'],05/14/2013,9,Arbuckle,0,27.0,0,2,0,29.0,0.0,27.0,2,29.0,0.9310344827586208
24,41445,Hispanic or Latino,00 -- English,['Caucasian'],[nan],10/06/2009,13,Linda Vista,9,201.0,2,34,0,246.0,0.0,201.0,45,246.0,0.8170731707317073
25,41446,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,Linda Vista,10,207.0,1,28,0,246.0,0.0,207.0,39,246.0,0.8414634146341463
26,41560,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/17/2010,12,Linda Vista,10,219.0,5,8,4,246.0,0.0,219.0,27,246.0,0.8902439024390244
27,41794,Hispanic or Latino,00 -- English,['Caucasian'],[nan],06/26/2008,14,Linda Vista,6,60.0,0,4,0,70.0,0.0,60.0,10,70.0,0.8571428571428571
28,42145,Not Hispanic or Latino,00 -- English,['Asian'],[nan],04/03/2013,9,Washington Hospital,0,40.0,0,0,0,40.0,0.0,40.0,0,40.0,1.0
29,42239,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],12/23/2009,12,FH,0,244.0,2,2,0,248.0,0.0,244.0,4,248.0,0.9838709677419356
30,42287,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],05/04/2013,9,Arbuckle,3,28.0,0,3,0,34.0,0.0,28.0,6,34.0,0.8235294117647058
31,42541,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Limited English', 'Infant/Toddler']",09/20/2013,9,Arbuckle,1,15.0,0,3,0,19.0,0.0,15.0,4,19.0,0.7894736842105263
32,42546,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Inactive:  Head Start Santa Clara County', 'Limited English']",02/07/2013,9,Cureton,1,6.0,0,14,0,0.0,21.0,6.0,15,21.0,0.2857142857142857
33,43055,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Inactive:  Head Start Santa Clara County'],02/11/2013,9,Chynoweth,8,9.0,0,4,0,21.0,0.0,9.0,12,21.0,0.4285714285714285
34,43077,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Admissions Agreement #14 (check box if Yes)'],02/07/2014,8,Dayton,0,192.0,7,23,0,0.0,222.0,192.0,30,222.0,0.8648648648648649
35,43153,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],01/15/2014,8,Paul Miller,16,210.0,2,16,2,246.0,0.0,210.0,36,246.0,0.8536585365853658
36,43175,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Preschool', 'Limited English']",12/20/2010,11,FH,10,109.0,0,2,0,121.0,0.0,109.0,12,121.0,0.9008264462809916
37,43176,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Infant/Toddler', 'Limited English']",06/14/2012,10,FH,10,110.0,0,1,0,121.0,0.0,110.0,11,121.0,0.9090909090909092
38,43192,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],11/19/2013,8,Paul Miller,1,174.0,59,11,1,246.0,0.0,174.0,72,246.0,0.7073170731707317
39,43244,Hispanic or Latino,00 -- English,['Caucasian'],[nan],02/05/2013,9,Eden Palms,3,30.0,0,2,0,35.0,0.0,30.0,5,35.0,0.8571428571428571
40,43318,Not Hispanic or Latino,03 -- Cantonese,['Asian'],[nan],07/31/2013,9,Corvallis,8,9.0,0,2,0,0.0,19.0,9.0,10,19.0,0.4736842105263157
41,43334,Not Hispanic or Latino,07 -- Mandarin (Phutonghua),['Asian'],[nan],12/28/2012,9,Pioneer,2,14.0,2,3,0,0.0,21.0,14.0,7,21.0,0.6666666666666666
42,43341,Not Hispanic or Latino,03 -- Cantonese,['Asian'],['Limited English'],02/22/2013,9,Grant,6,13.0,0,0,0,0.0,19.0,13.0,6,19.0,0.6842105263157895
43,43499,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],11/14/2013,8,Graham,0,15.0,0,4,0,0.0,19.0,15.0,4,19.0,0.7894736842105263
44,43597,Not Hispanic or Latino,00 -- English,['Black or African American'],['Inactive:  Head Start Alameda County'],09/28/2013,9,Eden Youth,1,244.0,1,0,0,246.0,0.0,244.0,2,246.0,0.991869918699187
45,43619,Hispanic or Latino,00 -- English,['Caucasian'],['Preschool'],11/09/2013,8,Russo,4,0.0,0,14,3,0.0,21.0,0.0,21,21.0,0.0
46,43679,Hispanic or Latino,00 -- English,['Caucasian'],[nan],08/12/2013,9,Meadowfair,0,2.0,13,6,0,0.0,21.0,2.0,19,21.0,0.0952380952380952
47,43778,Not Hispanic or Latino,02 -- Vietnamese,['Asian'],[nan],07/24/2013,9,Cureton,0,10.0,0,11,0,0.0,21.0,10.0,11,21.0,0.4761904761904761
48,43865,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/25/2013,9,Logan,1,59.0,2,9,0,71.0,0.0,59.0,12,71.0,0.8309859154929577
49,43865,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/25/2013,9,Washington Hospital,8,158.0,1,12,0,179.0,0.0,158.0,21,179.0,0.88268156424581
50,43928,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],08/16/2013,9,Cesar Chavez,5,1.0,0,8,0,0.0,14.0,1.0,13,14.0,0.0714285714285714
51,43981,Not Hispanic or Latino,00 -- English,['Asian'],[nan],12/30/2012,9,Bay,0,17.0,0,2,0,0.0,19.0,17.0,2,19.0,0.8947368421052632
52,44002,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Preschool', 'Limited English']",06/07/2013,9,Royal Sunset,0,18.0,0,1,0,0.0,19.0,18.0,1,19.0,0.9473684210526316
53,44004,Not Hispanic or Latino,03 -- Cantonese,['Asian'],['Limited English'],05/30/2013,9,Dayton,10,6.0,2,3,0,0.0,21.0,6.0,15,21.0,0.2857142857142857
54,44005,Not Hispanic or Latino,03 -- Cantonese,['Asian'],['Limited English'],05/30/2013,9,Dayton,10,6.0,2,3,0,0.0,21.0,6.0,15,21.0,0.2857142857142857
55,44007,Not Hispanic or Latino,03 -- Cantonese,['Asian'],[nan],04/20/2013,9,Colonial Acres,7,11.0,0,1,0,0.0,19.0,11.0,8,19.0,0.5789473684210527
56,44129,Not Hispanic or Latino,00 -- English,['Black or African American'],[nan],01/07/2013,9,Logan,0,0.0,2,0,5,7.0,0.0,0.0,7,7.0,0.0
57,44368,Hispanic or Latino,00 -- English,['Caucasian'],[nan],02/13/2013,9,Baldwin Park,1,3.0,0,7,0,0.0,11.0,3.0,8,11.0,0.2727272727272727
58,44384,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],03/15/2014,8,Goss,15,152.0,1,78,0,0.0,246.0,152.0,94,246.0,0.6178861788617886
59,44449,Not Hispanic or Latino,03 -- Cantonese,['Asian'],[nan],07/18/2013,9,Carlson,5,15.0,0,1,0,0.0,21.0,15.0,6,21.0,0.7142857142857143
60,44543,Hispanic or Latino,00 -- English,['Caucasian'],[nan],10/18/2013,9,Emerald Vista,4,12.0,14,4,0,0.0,34.0,12.0,22,34.0,0.3529411764705882
61,44629,Not Hispanic or Latino,00 -- English,['Asian'],[nan],03/01/2013,9,Washington Hospital,0,41.0,0,0,0,41.0,0.0,41.0,0,41.0,1.0
62,44631,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],02/26/2014,8,Decoto,4,218.0,11,13,0,246.0,0.0,218.0,28,246.0,0.8861788617886179
63,44662,Hispanic or Latino,00 -- English,['Caucasian'],"['School Age', 'Emergency Care']",08/17/2011,11,Linda Vista,8,224.0,1,13,0,246.0,0.0,224.0,22,246.0,0.9105691056910568
64,44746,Not Hispanic or Latino,02 -- Vietnamese,['Asian'],[nan],11/23/2012,9,Meadowfair,10,7.0,0,0,3,0.0,20.0,7.0,13,20.0,0.35
65,44753,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],06/23/2010,12,Linda Vista,3,217.0,10,16,0,246.0,0.0,217.0,29,246.0,0.8821138211382114
66,44840,Hispanic or Latino,00 -- English,['Caucasian'],[nan],05/25/2014,8,Corvallis,8,219.0,1,13,0,0.0,241.0,219.0,22,241.0,0.908713692946058
67,44905,Not Hispanic or Latino,00 -- English,['Caucasian'],[nan],06/08/2013,9,Grant,2,17.0,0,0,0,0.0,19.0,17.0,2,19.0,0.8947368421052632
68,45054,Not Hispanic or Latino,00 -- English,['Asian'],[nan],02/04/2013,9,Emerald Vista,1,21.0,0,7,0,29.0,0.0,21.0,8,29.0,0.7241379310344828
69,45057,Not Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/14/2012,9,Valley Medical Center,0,21.0,0,0,0,21.0,0.0,21.0,0,21.0,1.0
70,45092,Hispanic or Latino,00 -- English,['Caucasian'],[nan],06/28/2014,8,Eden Palms,21,210.0,1,13,1,246.0,0.0,210.0,36,246.0,0.8536585365853658
71,45165,Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start Alameda County'],04/09/2014,8,Graham,7,215.0,3,19,0,244.0,0.0,215.0,29,244.0,0.8811475409836066
72,45227,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],06/28/2013,9,Arbuckle,3,30.0,0,2,0,0.0,35.0,30.0,5,35.0,0.8571428571428571
